"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"287","codmine00879","Bikunda",2022-01-18,"Sud-Kivu",50,"Less than 2h walk","Less than 2h walk","Or","Cassitérite",NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"288","codmine00880","Kasese 1",2022-01-22,"Sud-Kivu",30,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","None","None observed",NA,"IPIS - USAID"
"289","codmine00881","Kasese 2",2022-01-22,"Sud-Kivu",50,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"290","codmine00882","Kanyanja",2022-01-22,"Sud-Kivu",6,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"291","codmine00883","Mushangi D8",2022-07-13,"Sud-Kivu",150,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"iTSCI","Vert","None observed",NA,"IPIS - USAID"
"292","codmine00884","Colline 6",2022-07-22,"Sud-Kivu",65,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"iTSCI","Jaune","None observed",NA,"IPIS - USAID"
"293","codmine00885","Colline 1",2022-07-21,"Sud-Kivu",60,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"iTSCI","Jaune","None observed",NA,"IPIS - USAID"
"294","codmine00886","Misheke G18",2022-07-26,"Sud-Kivu",600,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Chefferie","Chefferie",NA,"iTSCI","Jaune","None observed",NA,"IPIS - USAID"
"295","codmine00887","Kilima Kwale",2022-07-23,"Sud-Kivu",100,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"iTSCI","Jaune","None observed",NA,"IPIS - USAID"
"296","codmine00888","Bushushu",2022-07-23,"Sud-Kivu",50,"Less than 2h walk","Less than 2h walk","Wolframite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","Jaune","None observed",NA,"IPIS - USAID"
"297","codmine00889","Namadava",2022-07-27,"Sud-Kivu",50,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","Jaune","None observed",NA,"IPIS - USAID"
"298","codmine00890","Zolazola D23",2022-07-13,"Sud-Kivu",120,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,"Chefferie","iTSCI","Vert","Observed","Creuser, Lavage","IPIS - USAID"
"299","codmine00891","Muhinga",2022-07-18,"Sud-Kivu",70,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"iTSCI","Vert","Observed","Creuser sous terre, Concassage, Lavage","IPIS - USAID"
"300","codmine00893","Sebwa-Lukoma",2022-07-16,"Sud-Kivu",383,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","Observed","Raïa Mutomboki","Quotidien",NA,NA,NA,NA,"Chefferie",NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
